# Tungsten resisitivity ratio as a function of temperature
# R in micro-ohm-cm
# T in K
#! T[0]/ R[1]/ e[2]/
300. 5.65 0.032
400. 8.06 0.042
500. 10.56 0.042
600. 13.23 0.053
700. 16.09 0.076
800. 19.00 0.088
900. 21.94 .101
1000. 24.93 .114
1100. 27.94 .128
1200. 30.98 .143
1300. 34.08 .158
1400. 37.19 .175
1500. 40.36 .192
1600. 43.55 .207
1700. 46.78 .222
1800. 50.05 .236
1900. 53.35 .249
2000. 56.67 .260
2100. 60.06 .270
2200. 63.48 .279
2300. 66.91 .288
2400. 70.39 .296
2500. 73.91 .303
2600. 77.49 .311
2700. 81.04 .318
2800. 84.70 .323
2900. 88.33 .329
3000. 92.04 .334
3100. 95.76 .337
3200. 99.54 .341
3300. 103.3 .344
3400. 107.2 .348
3500. 111.1 .351
3600. 115.0 .354
# emissivity invented
3655. 117.1 .355
