LEFT
# parameters - ss left
#\  sil = 4.512

# columns: mVoltage  Slit  UncSlit

#! S[f,0]/ V[f,1]/
0.000   157.6
0.200   064.5
0.401   013.2
0.519   008.3
0.801   008.4
1.000   008.4
1.199   008.6
1.401   009.7
1.602   015.4
1.801   026.0
2.010   040.3
2.209   057.6
2.405   080.0
2.610   119.9
2.800   133.8
3.000   164.1
3.203   196.9
3.398   234.1
3.598   272.6
3.801   310.7
4.100   348.0
4.205   378.9
4.401   411.0
4.602   445.0
4.801   472.0
5.001   491.0
5.200   501.0
5.405   513.0
5.600   523.0
5.809   522.0
6.001   509.0
6.209   489.0
6.400   474.0
6.611   457.0
6.801   427.0
7.005   386.0
7.198   352.3
7.402   323.8
7.604   289.9
7.799   246.7
8.002   201.1
8.198   169.8
8.401   144.9
8.600   112.6
8.800   078.4
9.001   053.4
9.203   038.1
9.402   023.0
9.601   009.0
9.802   009.0
10.010  009.4
