# parameters - ss righht

#\  sir = 3.099

# columns: mVoltage  Slit  UncSlit

#! S[f,0]/ V[f,1]/
0.000   038.3
0.201   017.2
0.405   008.5
0.602   008.6
0.800   049.1
1.007   073.6
1.201   096.1
1.401   121.5
1.599   150.9
1.803   184.6
2.000   220.8
2.202   258.0
2.403   294.0
2.604   331.9
2.801   371.8
3.002   408.0
3.203   442.0
3.401   472.0
3.600   500.0
3.800   524.0
4.002   546.0
4.199   559.0
4.401   567.0
4.600   567.0
4.801   565.0
5.002   556.0
5.201   543.0
5.399   524.0
5.605   499.0
5.806   470.0
6.001   439.0
6.201   406.0
6.401   370.0
6.606   329.1
6.801   295.1
7.002   257.6
7.205   221.3
7.401   187.7
7.604   154.4
7.801   123.5
8.000   096.7
8.203   073.4
8.402   053.8
8.600   037.4
8.802   024.5
9.000   015.1
9.205   010.4
9.401   011.0
9.609   014.5
9.804   018.8
10.001  046.3
