# parameters - ss double
#\  sid = 4.229

# columns: Voltage  Slit  UncSlit

#! S[f,0]/ V[f,1]/
0.000   217.9
0.049   224.0
0.101   186.2
0.151   150.0
0.200   114.2
0.250   079.2
0.301   053.3
0.350   033.1
0.405   015.9
0.451   009.1
0.508   008.6
0.550   008.6
0.604   008.8
0.651   009.6
0.710   028.2
0.750   046.8
0.805   057.5
0.851   062.3
0.901   068.8
0.951   075.5
1.002   083.3
1.052   090.1
1.104   096.7
1.151   099.4
1.204   098.6
1.256   094.3
1.300   088.3
1.352   081.8
1.405   077.8
1.451   080.0
1.502   091.4
1.557   113.8
1.601   146.6
1.650   187.3
1.706   237.1
1.749   282.9
1.801   325.5
1.860   358.7
1.900   365.4
1.950   354.7
2.001   321.1
2.050   276.6
2.101   212.4
2.150   162.7
2.201   115.8
2.251   095.7
2.304   109.5
2.350   155.8
2.401   243.2
2.450   360.8
2.502   428.0
2.550   614.0
2.601   724.0
2.655   802.0
2.700   824.0
2.751   796.0
2.803   713.0
2.851   588.0
2.900   453.0
2.951   310.9
3.000   183.6
3.050   112.7
3.101   103.5
3.160   188.8
3.199   302.0
3.251   502.0
3.302   735.0
3.350   979.0
3.401   1186.0
3.456   1311.0
3.500   1372.0
3.550   1335.0
3.600   1206.0
3.655   987.0
3.700   760.0
3.750   506.0
3.801   299.6
3.853   146.5
3.900   094.8
3.953   159.3
4.001   333.2
4.050   588.0
4.100   896.0
4.156   1218.0
4.201   1501.0
4.250   1706.0
4.306   1812.0
4.350   1800.0
4.403   1655.0
4.450   1426.0
4.502   1092.0
4.550   739.0
4.604   423.0
4.651   215.7
4.703   096.8
4.750   113.0
4.800   262.8
4.850   520.0
4.900   853.0
4.951   1228.0
5.001   1567.0
5.051   1828.0
5.101   1979.0
5.157   1987.0
5.201   1864.0
5.250   1339.0
5.300   1293.0
5.350   931.0
5.400   586.0
5.459   277.4
5.505   125.8
5.551   083.7
5.602   164.6
5.700   686.0
5.805   1351.0
5.901   1789.0
6.001   1742.0
6.101   1267.0
6.200   641.0
6.301   165.8
6.400   106.2
6.502   452.0
6.601   972.0
6.701   1328.0
6.805   1341.0
6.901   1012.0
7.002   525.0
7.100   164.8
7.203   067.8
7.300   248.6
7.401   560.0
7.502   794.0
7.602   811.0
7.701   628.0
7.800   354.8
7.900   127.8
8.001   045.3
8.101   118.3
8.200   243.7
8.300   342.8
8.401   350.9
8.503   266.9
8.605   151.6
8.700   065.5
8.804   029.7
8.900   040.8
9.000   067.4
9.101   080.1
9.203   072.9
9.300   052.4
9.401   031.7
9.500   015.9
9.602   015.9
9.706   017.8
9.801   020.8
9.902   027.9
10.001  057.0
10.107  122.1
10.201  182.0
